,name,ra,dec,date,dist,mabs,mapp,type,z
0,Mrk335,1.5812499999999998,20.202777777777776,01/01/1998,24062829588201.273,0,0,blackhole,0.025789999999999997
1,Mrk1501,2.629166666666666,10.975,01/01/2012,82131394275225.67,0,0,blackhole,0.08934
2,PG0026+129,7.306666666666666,13.2675,01/01/2000,128900557542557.64,0,0,blackhole,0.142
3,PG0052+251,13.717083333333331,25.427222222222223,01/01/2000,139776674987715.28,0,0,blackhole,0.15445
4,Fairall9,5.940833333333333,-58.80583333333333,01/01/1997,43657148557023.164,0,0,blackhole,0.04702
5,Mrk590,3.639583333333333,-0.7666666666666667,01/01/1998,24619267636574.28,0,0,blackhole,0.026389999999999997
6,Mrk1044,7.522916666666666,-8.998055555555554,01/01/2014,15381995494630.703,0,0,blackhole,0.016451
7,3C120,8.296249999999999,5.354444444444444,01/01/1998,30748367449787.1,0,0,blackhole,0.033010000000000005
8,H0507+164,2.6895833333333328,16.49888888888889,01/01/2011,16711772299789.66,0,0,blackhole,0.017879
9,Ark120,4.047499999999999,-0.14972222222222223,01/01/1998,30471021459119.38,0,0,blackhole,0.03271
10,Mrk6,13.050833333333332,74.42694444444444,01/01/2012,17578265748375.24,0,0,blackhole,0.01881
11,Mrk79,10.636666666666665,49.80972222222222,01/01/1998,20720960065153.793,0,0,blackhole,0.02219
12,Mrk382,13.855416666666663,39.18611111111111,01/01/2014,31374102458783.438,0,0,blackhole,0.033687
13,PG0804+761,2.744166666666666,76.04527777777777,01/01/2000,91698471512136.03,0,0,blackhole,0.1
14,S5 0836+71,10.35125,70.89500000000001,01/01/2007,1187441381781171.5,0,0,blackhole,2.1719999999999997
15,PG0844+349,11.926666666666666,34.75111111111111,01/01/2000,59188295002547.24,0,0,blackhole,0.064
16,Mrk110,6.303749999999999,52.28638888888889,01/01/1998,32854929800550.69,0,0,blackhole,0.035289999999999995
17,PG0953+414,14.218333333333332,41.25611111111111,01/01/2000,207703645010519.9,0,0,blackhole,0.2341
18,NGC3227,5.8774999999999995,19.865000000000002,01/01/2010,3619479919631.0137,0,0,blackhole,0.00386
19,Mrk142,6.380416666666666,51.67638888888889,01/01/2009,41746009235171.13,0,0,blackhole,0.04494
20,NGC3516,1.6979166666666665,72.56861111111111,01/01/2010,8279850254169.84,0,0,blackhole,0.00884
21,SBS1116+583A,4.7404166666666665,58.056666666666665,01/01/2009,25991154210695.727,0,0,blackhole,0.02787
22,Arp151,6.400833333333333,54.3825,01/01/2008,19698726100549.965,0,0,blackhole,0.02109
23,NGC3783,9.757083333333332,-37.73861111111111,01/01/1994,9111619237434.229,0,0,blackhole,0.009729999999999999
24,MCG+06-26-012,9.807916666666666,33.93083333333333,01/01/2014,30510776763958.32,0,0,blackhole,0.032753
25,SDSS J1139+3355,9.807916666666666,33.93083333333333,01/01/2013,30510776763958.32,0,0,blackhole,0.032753
26,Mrk1310,0.30958333333333327,-3.6780555555555554,01/01/2009,18276030887152.668,0,0,blackhole,0.01956
27,NGC4051,0.7899999999999999,44.53138888888889,01/01/2009,2194944560111.0552,0,0,blackhole,0.00234
28,NGC4151,2.6358333333333333,39.405833333333334,01/01/1990,3113506965808.2217,0,0,blackhole,0.0033200000000000005
29,PG1211+143,3.57375,14.053611111111111,01/01/2000,74521097670202.3,0,0,blackhole,0.0809
30,Mrk202,4.479166666666666,58.65972222222222,01/01/2009,19633657325185.367,0,0,blackhole,0.02102
31,NGC4253,4.610416666666666,29.81277777777778,01/01/2009,12099467188014.479,0,0,blackhole,0.01293
32,Mrk50,5.850416666666667,2.6791666666666667,01/01/2011,21872675430054.836,0,0,blackhole,0.02343
33,NGC4395,6.453333333333332,33.54694444444444,01/01/2005,994577842682.7056,0,0,blackhole,0.00106
34,PG1226+023,7.277916666666665,2.0524999999999998,01/01/2000,143160634694874.6,0,0,blackhole,0.15834
35,PG1229+204,8.014999999999999,20.158055555555553,01/01/2000,58286220321918.54,0,0,blackhole,0.06301
36,NGC4593,9.914166666666665,-5.344166666666666,01/01/2006,8429406564825.814,0,0,blackhole,0.009000000000000001
37,WAS61,10.544166666666664,33.284166666666664,01/01/2014,40433772913798.87,0,0,blackhole,0.043512999999999996
38,PG1247+267,12.52375,26.51888888888889,01/01/2014,1147012488690271.2,0,0,blackhole,2.0380000000000003
39,NGC4748,13.051666666666666,-13.414722222222222,01/01/2009,13684988626161.936,0,0,blackhole,0.01463
40,PG1307+085,2.4458333333333333,8.33,01/01/2000,140255539942069.92,0,0,blackhole,0.155
41,NGC5273,10.534583333333332,35.65416666666667,01/01/2014,3393681315851.819,0,0,blackhole,0.003619
42,Mrk279,13.264166666666664,69.30833333333334,01/01/1990,28380436420037.03,0,0,blackhole,0.03045
43,PG1411+442,3.4512499999999995,44.00388888888889,01/01/2000,82365335605866.33,0,0,blackhole,0.0896
44,NGC5548,4.497916666666666,25.136666666666667,01/01/1990,16060960896122.475,0,0,blackhole,0.01718
45,PG1426+015,7.2775,1.285,01/01/2000,79637166182032.67,0,0,blackhole,0.08657000000000001
46,Mrk817,9.092083333333333,58.79416666666666,01/01/1998,29314996077766.234,0,0,blackhole,0.03146
47,NGC5940,7.825416666666666,7.457777777777778,01/01/2013,31598653427432.27,0,0,blackhole,0.03393
48,Mrk290,8.967916666666667,57.902499999999996,01/01/2010,27575067951282.16,0,0,blackhole,0.029580000000000002
49,Mrk486,9.159583333333332,54.55916666666666,01/01/2014,36217078449603.055,0,0,blackhole,0.038933999999999996
50,Mrk493,14.789999999999997,35.02972222222222,01/01/2014,29192880538876.812,0,0,blackhole,0.031327999999999995
51,PG1613+658,3.4883333333333333,65.71944444444445,01/01/2000,117469784296105.39,0,0,blackhole,0.129
52,PG1617+175,5.047083333333333,17.407777777777778,01/01/2000,102799339268059.66,0,0,blackhole,0.11244000000000001
53,PG1700+518,0.3533333333333333,51.82222222222222,01/01/2000,255280793326646.06,0,0,blackhole,0.292
54,Arp102B,4.810416666666666,48.98027777777778,01/01/2013,22556890957043.09,0,0,blackhole,0.024166999999999998
55,3C390.3,10.537499999999998,79.7713888888889,01/01/1998,51978002379555.37,0,0,blackhole,0.0561
56,1RXS J1858+4850,14.504583333333331,48.83972222222222,01/01/2014,72803550330169.44,0,0,blackhole,0.079
57,Zw229-015,1.3579166666666664,42.461111111111116,01/01/2011,26000420515852.96,0,0,blackhole,0.027880000000000002
58,NGC6814,10.669166666666666,-10.323611111111111,01/01/2009,4883872088111.922,0,0,blackhole,0.00521
59,Mrk509,11.040416666666665,-10.723611111111111,01/01/1998,32032897913826.758,0,0,blackhole,0.0344
60,PG2130+099,8.115833333333331,10.13861111111111,01/01/2004,58258878037504.93,0,0,blackhole,0.06298
61,NGC7469,0.815,8.873888888888889,01/01/1997,15259962585697.73,0,0,blackhole,0.016319999999999998
